Input,Output
2.5267005396471123,13.78323083604049
1.1789821038835888,10.939898105784009
4.759720651788788,11.605558812361926
4.117268923412896,10.718617449748558
4.873946131172737,9.8359425629226
2.8056158548163133,9.580041036987996
4.415924913724808,9.983870419840423
1.4272017811920907,10.87393635101295
1.5483645643930881,10.909276501639098
4.467023642985591,8.870621223239553
1.2917102377962522,9.170778423913035
1.9151915254802239,9.290272819323034
3.1421208263321905,8.879630840774697
2.9462833704016402,9.135948284310553
4.763002668128848,7.492778647817392
4.005539118895749,7.075392046865764
1.277354440917441,7.240785412009811
1.4315401477434682,8.506916156122305
1.6708578500463855,9.553919554482313
2.59061962944691,10.135211552195498
4.329822862728278,10.12384369952126
3.775726269129018,9.81290749790798
3.2251749835142642,10.336980842253782
2.179489880097818,12.535209737921129
3.2175507640653054,11.553427740542496
3.997953792460017,10.167366111422428
2.9656660953868568,9.249118882122772
1.6305140408752372,9.892320664528208
4.599334910247568,9.15315378980071
3.048185850913898,9.61927420227461
3.3612562563158983,8.748602319205695
4.304068511805209,7.099204785284594
4.581858409996608,6.644914150239497
1.0169497783200176,7.433404106494853
3.445499374717306,8.150119561683892
1.194040025848767,7.731506895377414
2.9130759245181426,7.56280149252929
1.2570110396530656,8.64461177763533
3.8269968085479626,8.196300273175018
2.4444902712276577,9.305017819964627
3.6434374368182434,10.433622177438666
3.2940821753308556,10.859681759844493
2.4802158356710033,11.3768825994348
2.6305153460256148,11.250765638542527
1.365423256355848,12.461146108919985
1.9388003819975101,11.885708755231942
4.9135089618709165,11.744159015874281
1.279983604276072,11.398684386746856
4.395771533685707,10.741845035225097
2.6723582672170627,9.713709207992371
3.627542539652087,8.267900703949897
2.3354937333214285,7.884625409808002
1.6436836982629206,6.596326268599715
4.163335115785207,6.194000782641056
2.2187486179797413,5.521612235272193
4.603549839355194,5.913882048728111
2.4121994069685173,6.308691531267462
3.6834263724932574,6.242700507072745
1.048820502146715,6.038460542675037
1.710606918526675,6.598835448737915
4.008841516430611,7.335808019027155
2.224928378215816,9.285617672463088
4.092679279903429,9.706687854270914
2.6832953745660446,11.316327609609933
2.7955340897424437,12.143572489945285
3.2829923682596918,10.705168639432374
2.3937436575232547,11.14530645710885
2.992792515389155,11.49300649372511
4.186705749948038,11.960633913403743
4.550814804285459,12.534732429368978
2.496742602683722,12.224242455922663
4.750960478451113,12.31277253201842
2.1083951757726656,11.42977660370696
3.1860899197472143,9.35767901512339
2.2947168277167695,11.386302472367731
3.718531083082614,10.840710828638596
4.560082948122579,12.050073566176778
4.842206926668116,12.262434388083213
3.918259815220861,11.60899226863239
1.8832709850837022,11.60070689009443
3.1748786960299773,10.609976110858678
4.317828062632769,10.902115790149347
1.6114577294895538,12.514005720854914
3.5887182082785696,11.58834849886341
1.052600876067173,12.367778296358855
3.4636422401315956,11.046882306404827
3.980390932975015,10.960367265611435
2.541737152646005,11.057797221683598
4.644190264752944,10.452343629724389
1.8952442107914385,10.167608404491824
4.566468844721042,10.600681374398787
2.4997960324281543,10.567180354150295
4.0948073030996,11.456588239201489
2.0962461793840443,11.89124227807262
2.3882747622066423,13.850642656867265
4.036524446378861,13.589606056345868
4.206866064086499,14.38776008112926
4.655883822518056,14.186288423819873
2.9120024896864654,14.514184194484525
1.506769797250191,15.317993705482024
1.0631689570742737,15.406841173166404
3.6705362741481133,15.719056227322186
3.851975870386388,15.0543841277151
4.18002173694301,13.775365946039969
3.354206191623976,14.086926064219465
2.748734827686691,13.899773220030601
1.2691452952077706,13.927304492851889
3.483734579090357,14.172666194462698
4.582596338714703,14.39886945454876
2.594392223719258,14.848501679028082
3.6268632817947943,13.760735572427407
2.3957322413189064,14.724366766977155
2.571546579010771,15.379758830998687
1.8031398668227174,14.573793383424013
2.7796474899964254,14.073139975568878
3.2475356691827693,14.123348316305488
4.083118614799797,14.959327802390376
3.291817184607612,14.080420454242454
1.3120454338147005,12.88450552568914
4.548110879343249,13.130916424216808
4.855993618506469,13.073831356454695
1.6913126862187489,13.043023475957323
3.211120427455633,12.834596463406863
1.9101897076297996,12.816008892863413
3.0013337180280604,13.273086410280456
2.0681147452990176,13.245821944327933
3.547487315227178,13.082965559485716
2.7589745352998545,14.151045871194938
